policy_name,error_type,count
unguided_model,correct_authorization,10
unguided_model,over_hold_instead_of_evaluation,4
unguided_model,wrong_channel_escalation_instead_of_definitive_action,16
safety_block_only,correct_authorization,10
safety_block_only,over_hold_instead_of_evaluation,4
safety_block_only,wrong_channel_escalation_instead_of_definitive_action,16
no_definitive_router,correct_authorization,14
no_definitive_router,wrong_channel_escalation_instead_of_definitive_action,16
hold_router_only,correct_authorization,14
hold_router_only,over_hold_instead_of_evaluation,4
hold_router_only,wrong_channel_escalation_instead_of_definitive_action,12
switch_router_only,correct_authorization,16
switch_router_only,over_hold_instead_of_evaluation,4
switch_router_only,wrong_channel_escalation_instead_of_definitive_action,10
emergency_router_only,correct_authorization,16
emergency_router_only,over_hold_instead_of_evaluation,4
emergency_router_only,wrong_channel_escalation_instead_of_definitive_action,10
full_controller,correct_authorization,30
